#Position (bp)	insert size
2.739392222E9	143.71141946371648
2.7432669105E9	179.0
2.747154147E9	156.46001167542323
2.754903524E9	163.25450180072028
2.762652901E9	157.23344481605352
2.770402278E9	166.57971014492753
2.778151655E9	143.4082474226804
2.785901032E9	166.48335745296671
2.793650409E9	0.0
2.801399786E9	142.2
2.809149163E9	158.65634218289085
2.81689854E9	157.31759120439781
2.824647917E9	159.4202223019003
2.832397294E9	150.3718918918919
2.840146671E9	146.54031065088756
2.847896048E9	154.78495842781558
2.855645425E9	148.62535765379113
2.863394802E9	146.56736563027235
2.871144179E9	142.91189516129032
2.8783339735E9	141.28366294067067
2.8816691105E9	121.2
2.8817081685E9	193.4
2.881815618E9	210.66666666666666
2.8819235655E9	173.0
2.881951375E9	0.0
2.8819607965E9	0.0
2.881963016E9	0.0
2.8819650695E9	0.0
2.8819667765E9	0.0
2.8819782505E9	0.0
2.8819911965E9	0.0
2.881994005E9	0.0
2.8819953275E9	0.0
2.8819971875E9	0.0
2.8819988245E9	0.0
2.882005523E9	0.0
2.8820305675E9	0.0
2.882050002E9	0.0
2.8820519145E9	0.0
2.882054482E9	0.0
2.882056241E9	0.0
2.882057828E9	0.0
2.882060061E9	0.0
2.8820622915E9	0.0
2.882064383E9	248.0
2.882066127E9	0.0
2.88206734E9	0.0
2.8820687725E9	0.0
2.882070395E9	0.0
2.882267106E9	148.0144927536232
2.882463753E9	59.0
2.8824652565E9	157.5
2.8824681035E9	157.72222222222223
2.882516555E9	130.2127659574468
2.882619299E9	193.1727272727273
2.882677579E9	0.0
2.882680814E9	0.0
2.8826831805E9	205.0
2.8826854325E9	0.0
2.882687501E9	205.0
2.8826891265E9	0.0
2.882701121E9	0.0
2.882740355E9	166.0
2.882809418E9	202.23529411764707
2.8828534285E9	208.0
2.882860329E9	0.0
2.882867573E9	0.0
2.88287343E9	0.0
2.882877733E9	98.0
2.882880309E9	220.0
2.88288275E9	0.0
2.8828853255E9	0.0
2.882886906E9	0.0
2.882933057E9	127.25
2.8829793125E9	0.0
2.882980713E9	0.0
2.8829822125E9	0.0
2.882984397E9	201.0
2.882986658E9	0.0
2.8829909575E9	0.0
2.883009997E9	0.0
2.8830477505E9	170.0
2.88307233E9	217.5
2.883076929E9	0.0
2.8830824375E9	0.0
2.8830887685E9	182.0
2.883093368E9	182.0
2.8830977865E9	50.0
2.8831015105E9	0.0
2.8831028565E9	0.0
2.8831040605E9	0.0
2.883106094E9	52.0
2.8831079675E9	0.0
2.8831092055E9	0.0
2.8831106335E9	0.0
2.8831118605E9	46.0
2.883112934E9	117.0
2.883114396E9	0.0
2.883116725E9	0.0
2.8831199175E9	0.0
2.8831258425E9	0.0
2.8831305265E9	0.0
2.883131573E9	0.0
2.8831327445E9	0.0
2.883134587E9	0.0
2.883136549E9	0.0
2.883137889E9	0.0
2.8831394005E9	0.0
2.8831409485E9	0.0
2.8831420415E9	0.0
2.8831434205E9	0.0
2.8831450565E9	0.0
2.8831466735E9	0.0
2.8831482025E9	0.0
2.8831496855E9	0.0
2.883151E9	0.0
2.8831524505E9	0.0
2.8831539105E9	0.0
2.883156513E9	362.0
2.8831591885E9	0.0
2.8831610845E9	0.0
2.8831632375E9	0.0
2.883164788E9	0.0
2.8831667025E9	0.0
2.883169294E9	0.0
2.8831746925E9	0.0
2.8831825095E9	0.0
2.8832777785E9	133.5672268907563
2.8834588255E9	137.00564971751413
2.8836293255E9	175.23076923076923
2.883800073E9	188.88888888888889
2.8839686355E9	0.0
2.8840548555E9	0.0
2.884144479E9	0.0
2.8843319275E9	182.0
2.8845214925E9	188.41176470588235
2.884626674E9	0.0
2.8846808625E9	159.5
2.884813473E9	182.0
2.884959501E9	0.0
2.885085541E9	121.1875
